Date,Open,High,Low,Close,Adj Close,Volume
2011-06-01,1787.500000,1812.500000,1675.000000,1800.000000,1231.906494,1915470000
2011-07-01,1825.000000,2037.500000,1787.500000,1962.500000,1366.838379,2386126000
2011-08-01,2012.500000,2025.000000,1662.500000,1712.500000,1192.718628,3429210000
2011-09-01,1712.500000,1825.000000,1275.000000,1575.000000,1096.953003,4635456000
2011-10-01,1437.500000,1825.000000,1375.000000,1787.500000,1244.954712,3527560000
2011-11-01,1700.000000,1850.000000,1575.000000,1600.000000,1114.364868,3334466000
2011-12-01,1600.000000,1750.000000,1550.000000,1687.500000,1175.306763,1955562000
2012-01-01,1675.000000,1787.500000,1650.000000,1675.000000,1166.600952,2523972012
2012-02-01,1687.500000,1687.500000,1500.000000,1612.500000,1123.070801,5360720000
2012-03-01,1587.500000,1737.500000,1587.500000,1712.500000,1192.718628,2932678008
2012-04-01,1737.500000,1850.000000,1700.000000,1850.000000,1288.484497,1953678000
2012-05-01,1850.000000,1862.500000,1662.500000,1725.000000,1201.424683,1902750000
2012-06-01,1725.000000,1837.500000,1637.500000,1800.000000,1272.338989,1369730000
2012-07-01,1812.500000,2075.000000,1712.500000,2075.000000,1466.724243,2167044000
2012-08-01,2075.000000,2150.000000,1837.500000,1950.000000,1378.367310,1351862000
2012-09-01,1975.000000,2075.000000,1900.000000,2050.000000,1449.052979,1680830000
2012-10-01,2012.500000,2100.000000,1975.000000,2062.500000,1457.888672,1624008000
2012-11-01,2075.000000,2225.000000,2037.500000,2062.500000,1457.888672,1254008000
2012-12-01,2112.500000,2112.500000,1925.000000,1950.000000,1378.367310,2055508012
2013-01-01,1950.000000,2262.500000,1950.000000,2262.500000,1599.259766,1725268000
2013-02-01,2250.000000,2537.500000,2175.000000,2512.500000,1775.973511,1701754000
2013-03-01,2475.000000,2512.500000,2362.500000,2500.000000,1767.137817,1749754000
2013-04-01,2512.500000,2687.500000,2450.000000,2625.000000,1855.494629,1585938024
2013-05-01,2600.000000,2637.500000,2425.000000,2425.000000,1746.819336,2498734000
2013-06-01,2425.000000,2475.000000,2062.500000,2250.000000,1620.760010,2922794012
2013-07-01,2262.500000,2262.500000,1862.500000,2225.000000,1602.751587,2805734000
2013-08-01,2225.000000,2225.000000,1562.500000,1775.000000,1278.599609,3735436000
2013-09-01,1800.000000,2575.000000,1637.500000,1987.500000,1431.671387,3808434000
2013-10-01,2012.500000,2237.500000,2012.500000,2150.000000,1548.726074,2701268000
2013-11-01,2100.000000,2150.000000,1837.500000,1912.500000,1377.645996,2671856000
2013-12-01,1925.000000,2000.000000,1825.000000,1962.500000,1413.663086,1290742000
2014-01-01,1962.500000,2381.250000,1900.000000,2175.000000,1566.734741,2287163600
2014-02-01,2206.250000,2412.500000,2100.000000,2275.000000,1638.768555,2539901600
2014-03-01,2250.000000,2562.500000,2250.000000,2362.500000,1701.798218,3031414000
2014-04-01,2393.750000,2587.500000,2381.250000,2456.250000,1813.662231,2670719200
2014-05-01,2456.250000,2706.250000,2443.750000,2543.750000,1878.271240,1918157200
2014-06-01,2550.000000,2562.500000,2406.250000,2431.250000,1795.202393,2055482400
2014-07-01,2456.250000,2750.000000,2406.250000,2562.500000,1892.115967,3327483200
2014-08-01,2562.500000,2662.500000,2506.250000,2593.750000,1915.190430,1563503600
2014-09-01,2625.000000,2675.000000,2456.250000,2518.750000,1859.811523,1965186000
2014-10-01,2525.000000,2593.750000,2325.000000,2587.500000,1910.575439,2384827200
2014-11-01,2593.750000,2681.250000,2525.000000,2631.250000,1942.880005,1308342800
2014-12-01,2637.500000,2718.750000,2531.250000,2693.750000,1989.029053,1425168800
2015-01-01,2693.750000,2843.750000,2650.000000,2750.000000,2030.563354,1812009600
2015-02-01,2750.000000,3075.000000,2737.500000,3000.000000,2215.160156,1838508400
2015-03-01,2975.000000,3118.750000,2937.500000,3118.750000,2302.843506,1476066000
2015-04-01,3118.750000,3137.500000,2587.500000,2687.500000,2019.734741,2262019200
2015-05-01,2687.500000,2931.250000,2675.000000,2693.750000,2024.431641,2062749600
2015-06-01,2700.000000,2706.250000,2337.500000,2512.500000,1888.216919,2253151600
2015-07-01,2531.250000,2600.000000,2318.750000,2381.250000,1789.578979,1849068000
2015-08-01,2350.000000,2518.750000,2031.250000,2275.000000,1709.728882,2974338800
2015-09-01,2250.000000,2250.000000,1787.500000,1981.250000,1488.967285,1516085200
2015-10-01,2000.000000,2412.500000,1918.750000,2175.000000,1634.576172,2119430000
2015-11-01,2168.750000,2318.750000,2037.500000,2125.000000,1596.999634,1828682400
2015-12-01,2187.500000,2312.500000,2112.500000,2312.500000,1737.911255,1237126400
2016-01-01,2312.500000,2400.000000,2250.000000,2400.000000,1803.670044,1741306800
2016-02-01,2400.000000,2600.000000,2293.750000,2387.500000,1794.275757,2397251200
2016-03-01,2368.750000,2593.750000,2343.750000,2575.000000,1935.187744,1975695200
2016-04-01,2556.250000,2612.500000,2318.750000,2412.500000,1860.759644,1323716800
2016-05-01,2406.250000,2468.750000,2162.500000,2256.250000,1740.244263,1914989200
2016-06-01,2250.000000,2425.000000,2212.500000,2381.250000,1836.656860,1485284400
2016-07-01,2375.000000,2618.750000,2331.250000,2525.000000,1947.530884,2337342800
2016-08-01,2556.250000,2987.500000,2550.000000,2806.250000,2164.458984,2754841600
2016-09-01,2775.000000,2937.500000,2625.000000,2800.000000,2159.638428,1773045600
2016-10-01,2831.250000,2912.500000,2687.500000,2868.750000,2212.665283,1641578800
2016-11-01,2868.750000,2975.000000,2506.250000,2625.000000,2024.661011,2163828800
2016-12-01,2625.000000,2931.250000,2625.000000,2893.750000,2231.947510,1268608000
2017-01-01,2893.750000,2900.000000,2725.000000,2725.000000,2101.791016,1098405200
2017-02-01,2743.750000,2900.000000,2725.000000,2825.000000,2178.920654,1805377200
2017-03-01,2850.000000,3006.250000,2800.000000,2925.000000,2256.050781,1517241200
2017-04-01,2950.000000,3106.250000,2850.000000,2925.000000,2308.134277,1359647600
2017-05-01,2925.000000,3325.000000,2875.000000,3150.000000,2485.683105,1662761600
2017-06-01,3150.000000,3212.500000,3037.500000,3187.500000,2515.274414,1012243200
2017-07-01,3193.750000,3412.500000,3168.750000,3412.500000,2692.823242,1430117200
2017-08-01,3418.750000,3418.750000,3262.500000,3275.000000,2584.321045,1360008000
2017-09-01,3275.000000,3387.500000,3200.000000,3362.500000,2653.368164,1481339200
2017-10-01,3362.500000,3575.000000,3287.500000,3525.000000,2781.597656,1898497000
2017-11-01,3550.000000,3800.000000,3462.500000,3700.000000,2919.691162,1900178000
2017-12-01,3700.000000,4050.000000,3650.000000,4000.000000,3156.422852,1423478400
2018-01-01,4000.000000,4150.000000,3825.000000,4075.000000,3215.605713,1643769600
2018-02-01,4100.000000,4525.000000,3962.500000,4150.000000,3274.788818,1432868800
2018-03-01,4200.000000,4237.500000,3762.500000,3837.500000,3028.193359,1707350200
